ISO-3166-1;ISO-3166-2;Name1;Name2;Wikipedia;Type
MZ;MPM;Maputo;Maputo;https://en.wikipedia.org/wiki/Maputo;city
MZ;P;"Cabo Delgado Province";"Cabo Delgado";https://en.wikipedia.org/wiki/Cabo_Delgado_Province;province
MZ;G;"Gaza Province";Gaza;https://en.wikipedia.org/wiki/Gaza_Province;province
MZ;I;"Inhambane Province";Inhambane;https://en.wikipedia.org/wiki/Inhambane_Province;province
MZ;B;"Manica Province";Manica;https://en.wikipedia.org/wiki/Manica_Province;province
MZ;L;"Maputo Province";Maputo;https://en.wikipedia.org/wiki/Maputo_Province;province
MZ;N;"Nampula Province";Nampula;https://en.wikipedia.org/wiki/Nampula_Province;province
MZ;A;"Niassa Province";Niassa;https://en.wikipedia.org/wiki/Niassa_Province;province
MZ;S;"Sofala Province";Sofala;https://en.wikipedia.org/wiki/Sofala_Province;province
MZ;T;"Tete Province";Tete;https://en.wikipedia.org/wiki/Tete_Province;province
MZ;Q;"Zambézia Province";Zambézia;https://en.wikipedia.org/wiki/Zamb%C3%A9zia_Province;province
NA;ER;"Erongo Region";Erongo;https://en.wikipedia.org/wiki/Erongo_Region;regions
NA;HA;"Hardap Region";Hardap;https://en.wikipedia.org/wiki/Hardap_Region;regions
NA;KA;"ǁKaras Region";Karas;https://en.wikipedia.org/wiki/%C7%81Karas_Region;regions
NA;KE;"Kavango East Region";"Kavango East";https://en.wikipedia.org/wiki/Kavango_East_Region;regions
NA;KW;"Kavango West";"Kavango West";https://en.wikipedia.org/wiki/Kavango_West;regions
NA;KH;"Khomas Region";Khomas;https://en.wikipedia.org/wiki/Khomas_Region;regions
NA;KU;"Kunene Region";Kunene;https://en.wikipedia.org/wiki/Kunene_Region;regions
NA;OW;"Ohangwena Region";Ohangwena;https://en.wikipedia.org/wiki/Ohangwena_Region;regions
NA;OH;"Omaheke Region";Omaheke;https://en.wikipedia.org/wiki/Omaheke_Region;regions
NA;OS;"Omusati Region";Omusati;https://en.wikipedia.org/wiki/Omusati_Region;regions
NA;ON;"Oshana Region";Oshana;https://en.wikipedia.org/wiki/Oshana_Region;regions
NA;OT;"Oshikoto Region";Oshikoto;https://en.wikipedia.org/wiki/Oshikoto_Region;regions
NA;OD;"Otjozondjupa Region";Otjozondjupa;https://en.wikipedia.org/wiki/Otjozondjupa_Region;regions
NA;CA;"Zambezi Region";Zambezi;https://en.wikipedia.org/wiki/Zambezi_Region;regions
NE;8;Niamey;Niamey;https://en.wikipedia.org/wiki/Niamey;"urban community"
NE;1;"Agadez Region";Agadez;https://en.wikipedia.org/wiki/Agadez_Region;region
NE;2;"Diffa Region";Diffa;https://en.wikipedia.org/wiki/Diffa_Region;region
NE;3;"Dosso Region";Dosso;https://en.wikipedia.org/wiki/Dosso_Region;region
NE;4;"Maradi Region";Maradi;https://en.wikipedia.org/wiki/Maradi_Region;region
NE;5;"Tahoua Region";Tahoua;https://en.wikipedia.org/wiki/Tahoua_Region;region
NE;6;"Tillabéri Region";Tillabéri;https://en.wikipedia.org/wiki/Tillab%C3%A9ri_Region;region
NE;7;"Zinder Region";Zinder;https://en.wikipedia.org/wiki/Zinder_Region;region
